"","StartPrice","HighPrice","LowPrice","EndPrice","Amount"
"2003-07-25",12485,13954,12485,13953,639909
"2003-07-28",15606,15606,15202,15606,761767
"2003-07-29",15496,16047,14688,15496,729812
"2003-07-30",15790,17332,15790,17332,2019566
"2003-07-31",17626,19131,17626,18984,2055562
"2003-08-01",19058,20049,18801,19094,1340917
"2003-08-04",19315,19645,18213,18433,646746
"2003-08-05",18948,19242,18213,18984,507499
"2003-08-06",18397,18691,17736,17846,371877
"2003-08-07",17993,19976,17993,19975,1394726
"2003-08-08",21298,22363,21004,22362,703856
"2003-08-11",24236,25043,23575,25043,2260679
"2003-08-12",25264,25484,23575,24859,1146388
"2003-08-13",25557,26990,24309,24823,1451842
"2003-08-14",24823,26145,24493,25484,804528
"2003-08-18",26108,26843,25154,26438,1031541
"2003-08-19",27173,27393,23868,23868,846329
"2003-08-20",24603,26549,23942,25630,1222200
"2003-08-21",26145,26329,22583,23647,968325
"2003-08-22",22914,24272,22767,23794,730918
"2003-08-25",23575,24272,22987,23060,553199
"2003-08-26",23428,24529,23281,23684,755198
"2003-08-27",23795,24750,23171,24749,788849
"2003-08-28",24750,25337,23611,23978,671317
"2003-08-29",24272,24603,23501,24455,362674
"2003-09-01",24603,24933,23648,23721,450759
"2003-09-02",23758,24015,23024,23868,475783
"2003-09-03",23942,24052,22693,22950,476625
"2003-09-04",23207,23464,22693,22766,494903
"2003-09-05",23207,24566,23060,24308,815890
"2003-09-08",24089,24529,23538,23941,447276
"2003-09-09",24456,25043,23611,23721,495286
"2003-09-15",23942,24089,22987,23574,313755
"2003-09-16",23318,24419,23207,23427,381154
"2003-09-17",23538,23795,22767,22766,383981
"2003-09-18",22767,22877,20710,22105,691365
"2003-09-19",22583,22840,21298,21297,322474
"2003-09-22",21298,21298,19829,19902,306750
"2003-09-23",19462,20857,18801,20783,897945
"2003-09-24",20417,20674,20123,20122,376729
"2003-09-25",18948,20857,18948,20857,1133785
"2003-09-26",21224,22289,21078,21518,1232313
"2003-09-29",21665,21996,20747,21738,381252
"2003-09-30",21885,22326,21004,21885,687845
"2003-10-01",20563,21996,20563,21885,342084
"2003-10-02",22363,22583,21922,22399,494505
"2003-10-06",22620,22840,22216,22472,372633
"2003-10-07",22767,22767,21885,21995,232962
"2003-10-08",22179,23207,22179,22215,630600
"2003-10-09",22436,23501,22069,23501,460721
"2003-10-10",23795,25043,23391,23684,1045691
"2003-10-13",23354,24015,23244,23537,264895
"2003-10-14",23868,24676,23648,24272,496405
"2003-10-15",24456,24896,24015,24051,288988
"2003-10-16",23942,24162,23428,24015,279868
"2003-10-17",23942,24015,23134,23133,180157
"2003-10-20",22767,23942,22767,23868,216637
"2003-10-21",23905,24382,23134,23133,172469
"2003-10-22",23464,24162,23024,23280,207821
"2003-10-23",22950,23207,21739,21738,243175
"2003-10-24",21739,22179,21004,21518,187245
"2003-10-27",21665,22032,21481,21554,168444
"2003-10-28",21665,22620,21665,22142,257267
"2003-10-29",22546,22583,21481,21885,207460
"2003-10-30",22253,22253,21224,21261,261614
"2003-10-31",21151,21518,20674,20930,193843
"2003-11-03",21224,22546,21188,22546,358821
"2003-11-04",22877,22987,22032,22032,231855
"2003-11-05",22767,23464,22326,22987,388329
"2003-11-06",23354,23575,22877,23133,276205
"2003-11-07",23575,24272,23281,23721,386586
"2003-11-10",23721,24382,23721,24382,280407
"2003-11-11",24236,24786,23171,23721,299536
"2003-11-12",24162,25925,24015,25777,592577
"2003-11-13",26145,26439,25080,25630,541363
"2003-11-14",25704,26072,24750,24933,232204
"2003-11-17",24676,25080,24015,24235,255062
"2003-11-18",24089,24493,23721,24455,310790
"2003-11-19",23721,23978,23134,23133,239949
"2003-11-20",23171,23501,22363,22362,196185
"2003-11-21",22069,22693,21996,22215,190832
"2003-11-24",22032,22840,21996,21995,231567
"2003-11-25",22546,23354,22546,23133,234962
"2003-11-26",23354,23795,23207,23647,223185
"2003-11-27",23648,24125,23134,24015,211549
"2003-11-28",24236,24382,23905,24015,176651
"2003-12-01",24015,24346,23868,24125,220336
"2003-12-02",24382,24786,24162,24162,288703
"2003-12-03",24162,24493,23428,23868,206730
"2003-12-04",23868,23868,22546,23023,407385
"2003-12-05",23134,23207,22620,22803,188226
"2003-12-08",22840,23207,22840,23097,194093
"2003-12-09",23207,23428,22877,23207,142776
"2003-12-10",22914,23060,22730,23023,144232
"2003-12-11",23024,23905,23024,23831,298430
"2003-12-12",24125,24125,23611,24015,181541
"2003-12-15",24382,24382,23832,24162,184845
"2003-12-16",23538,23832,23097,23207,229132
"2003-12-17",23207,23501,21518,22693,488877
"2003-12-18",22399,22693,21628,22179,223404
"2003-12-19",22032,22363,21224,21297,274211
"2003-12-22",21004,21224,19976,20269,301912
"2003-12-23",20490,21004,19866,20747,334475
"2003-12-24",20637,22032,20490,21665,323333
"2003-12-26",21408,21959,21004,21958,137617
