"","StartPrice","HighPrice","LowPrice","EndPrice","Amount"
"2011-06-30",19300,22150,18950,22150,23654090
"2011-07-01",23150,25350,22200,22750,15244984
"2011-07-04",23350,24250,22450,22850,5131172
"2011-07-05",23600,24850,22600,24550,5973505
"2011-07-06",25000,25900,24850,25650,4728395
"2011-07-07",25400,27750,24650,25400,4893278
"2011-07-08",25800,26500,25500,26100,2572377
"2011-07-11",26750,29500,26150,28500,6074895
"2011-07-12",28400,29650,28100,29300,4617603
"2011-07-13",29300,29350,24950,25250,7288431
"2011-07-14",25600,26400,24400,25600,3905594
"2011-07-15",25600,29100,24600,28600,6982000
"2011-07-18",29250,30200,28100,29250,4983289
"2011-07-19",29550,31300,28800,29300,5327339
"2011-07-20",29900,30150,27750,27750,4254431
"2011-07-21",28150,28700,25650,27050,3957895
"2011-07-22",27300,27900,26400,27600,2319166
"2011-07-25",27300,27400,25550,25600,2839070
"2011-07-26",25650,26550,25500,26000,1746541
"2011-07-27",26350,28200,26100,28000,3384132
"2011-07-28",27500,28100,26800,27200,2402390
"2011-07-29",27600,28500,27250,27700,2164490
"2011-08-01",28300,28900,27700,28650,2102948
"2011-08-02",28650,29100,27700,28200,1651961
"2011-08-03",27400,28800,26900,28750,1671870
"2011-08-04",28900,29300,27700,27700,1832463
"2011-08-05",25500,26800,24900,26100,2073472
"2011-08-08",25700,26250,22200,23400,3528884
"2011-08-09",22800,25150,21150,24800,4041577
"2011-08-10",26500,26600,25400,26100,2399571
"2011-08-11",24900,28250,24850,28200,2892310
"2011-08-12",28750,28950,27050,27050,2389125
"2011-08-16",28100,28450,27650,27800,1387805
"2011-08-17",28000,30350,28000,30150,4486943
"2011-08-18",30500,31100,29650,30600,2983041
"2011-08-19",29500,30900,28900,29200,3093164
"2011-08-22",30000,30200,28100,29000,2697705
"2011-08-23",29500,29700,27400,28200,4226039
"2011-08-24",28200,28500,27050,27300,2683695
"2011-08-25",27600,28000,26000,26200,2252448
"2011-08-26",26200,28000,26200,27850,1892535
"2011-08-29",28250,29300,27900,29000,2145430
"2011-08-30",29300,30000,28600,29400,2583021
"2011-08-31",29700,29800,29150,29500,1020934
"2011-09-01",29500,29800,28450,28700,1913867
"2011-09-02",28700,32350,28400,31950,6018746
"2011-09-05",31500,32550,30900,31550,3011634
"2011-09-06",31000,32950,30100,32650,2819508
"2011-09-07",33400,34150,32550,33000,3315812
"2011-09-08",33150,34800,32800,33400,2534814
"2011-09-09",33300,34000,32850,33450,1261862
"2011-09-14",33450,33700,30950,30950,1642095
"2011-09-15",32100,33800,31850,33800,2862595
"2011-09-16",34600,35550,34150,34350,2357707
"2011-09-19",33950,34800,33500,33500,1089415
"2011-09-20",33300,34500,33300,34200,1372153
"2011-09-21",34100,35150,33700,34000,1434880
"2011-09-22",33500,34300,33250,34000,1113215
"2011-09-23",32250,33300,32000,32000,1454417
"2011-09-26",32800,33000,29700,30150,2289503
"2011-09-27",31500,33000,31100,32900,1407066
"2011-09-28",33100,33450,32100,32100,1279197
"2011-09-29",32700,34250,32500,33600,1941176
"2011-09-30",33600,35700,33550,35450,2513389
"2011-10-04",34100,36500,34100,36500,2589556
"2011-10-05",37250,38350,35800,35850,3698331
"2011-10-06",36300,36950,30550,31600,8540997
"2011-10-07",31550,32650,30050,32300,4389859
"2011-10-10",32900,33100,32150,32250,1871522
"2011-10-11",33000,34200,32400,33700,2913979
"2011-10-12",34000,34400,33250,33350,1719548
"2011-10-13",33450,34200,32800,33500,2161487
"2011-10-14",33500,33900,32550,33750,1412481
"2011-10-17",34100,38300,34100,38250,4723786
"2011-10-18",37850,39600,37650,38350,4226943
"2011-10-19",38950,40400,37900,39000,3110350
"2011-10-20",39000,40400,36000,37400,2669258
"2011-10-21",38350,39900,37500,39900,2377185
"2011-10-24",40600,41600,39400,39750,2793102
"2011-10-25",39750,39850,37800,38600,2581512
"2011-10-26",38200,39400,37800,39200,1370677
"2011-10-27",39350,41000,39300,39550,2133651
"2011-10-28",40100,40350,38500,39000,1496999
"2011-10-31",38500,38800,36950,37400,2725650
"2011-11-01",36950,38150,36900,37150,1349757
"2011-11-02",36300,38500,35800,38150,1330397
"2011-11-03",38600,38750,37450,37500,943120
"2011-11-04",38400,39250,37900,38650,1249381
"2011-11-07",39000,39150,38400,38450,815306
"2011-11-08",38550,38600,37250,37350,1218509
"2011-11-09",37600,38400,36500,38400,1575035
"2011-11-10",37500,38450,36950,37600,1659225
"2011-11-11",38400,40000,38050,39600,2733886
"2011-11-14",40150,40400,39500,39700,1436432
"2011-11-15",39750,41100,38600,38600,2788842
"2011-11-16",38950,39450,37700,37700,2006950
"2011-11-17",37950,38650,37400,38600,828337
"2011-11-18",37900,39250,37900,38650,970857
"2011-11-21",39100,39450,38550,38950,853432
"2011-11-22",38700,38950,38500,38650,589554
"2011-11-23",39000,39450,37900,38550,1086024
"2011-11-24",38450,39300,38050,39250,935623
"2011-11-25",39100,39950,38950,39200,1285297
"2011-11-28",39650,39900,38950,39400,959671
"2011-11-29",39600,40500,39450,40500,2147188
"2011-11-30",40300,42200,39850,41100,5824461
"2011-12-01",41400,41850,40000,40150,2339107
"2011-12-02",40050,40400,39250,39400,1004551
"2011-12-05",39400,39800,39100,39200,843158
"2011-12-06",39000,39550,38200,38250,1214201
"2011-12-07",38400,38500,37100,37450,1826861
"2011-12-08",37600,39000,37400,39000,1141817
"2011-12-09",38700,39200,38250,38950,627139
"2011-12-12",39350,39350,38600,38850,615590
"2011-12-13",38950,38950,38050,38250,559637
"2011-12-14",38200,38750,37950,38000,666743
"2011-12-15",37800,39600,37650,39400,1625378
"2011-12-16",39700,39850,39000,39550,740674
"2011-12-19",39450,41500,37850,38450,1986862
"2011-12-20",38800,38950,38100,38200,700678
"2011-12-21",38850,39000,38300,38500,604811
"2011-12-22",38400,38850,38350,38650,343925
"2011-12-23",38900,38950,38250,38300,419664
"2011-12-26",38400,38750,38150,38450,418438
"2011-12-27",38650,40050,38600,39000,1293845
"2011-12-28",39100,40350,38750,39200,1339702
"2011-12-29",39200,39700,38850,39550,457240
"2012-01-02",40050,40150,39250,39350,437220
"2012-01-03",39400,39450,38850,39300,550816
"2012-01-04",39350,39650,38900,38900,486948
"2012-01-05",39150,39200,38500,38600,617792
"2012-01-06",38600,38900,38150,38350,432810
"2012-01-09",38350,38450,37100,37250,867958
"2012-01-10",37300,38150,37300,37750,552229
"2012-01-11",37800,38850,37800,38600,850369
"2012-01-12",38900,38900,38000,38100,439052
"2012-01-13",38100,38300,37200,37400,784087
"2012-01-16",37150,37700,36200,36450,894738
"2012-01-17",36300,36900,35400,35600,1250756
"2012-01-18",35850,36300,33050,33800,2375333
"2012-01-19",34050,34400,33000,33000,1946609
"2012-01-20",32800,34550,31450,33900,4619674
"2012-01-25",33700,33800,32100,32100,1588955
"2012-01-26",32350,33350,32300,33050,1078994
"2012-01-27",33300,33750,32050,32250,1170242
"2012-01-30",32950,33650,32450,32650,1103684
"2012-01-31",32500,32650,31450,32000,1522177
"2012-02-01",32000,33350,31750,33200,1497685
"2012-02-02",33100,33850,32750,32900,1009127
"2012-02-03",33150,33500,32200,32350,835098
"2012-02-06",32600,32650,31150,31150,1140444
"2012-02-07",30950,31750,30500,31300,901983
"2012-02-08",31350,31700,30550,30700,1162025
"2012-02-09",30750,31250,30600,31250,812862
"2012-02-10",31400,32700,31100,31550,1459090
"2012-02-13",31850,34300,31550,33950,2544451
"2012-02-14",34000,34250,33300,33550,1080049
"2012-02-15",33950,34100,33100,33600,734541
"2012-02-16",33550,34350,33500,33600,1029912
"2012-02-17",32700,32950,31550,31650,3033090
"2012-02-20",31900,32250,31450,31550,917779
"2012-02-21",31600,32250,31150,32150,824572
"2012-02-22",32100,32900,31900,32300,739038
"2012-02-23",32350,32450,31500,31700,544601
"2012-02-24",31600,31850,31400,31700,423263
"2012-02-27",31600,31700,30750,30800,630884
"2012-02-28",30800,31100,29650,29750,1240052
"2012-02-29",29750,30150,29700,30100,681700
"2012-03-02",30150,31100,30150,31000,623440
"2012-03-05",31450,31950,31000,31050,715129
