"","StartPrice","HighPrice","LowPrice","EndPrice","Amount"
"2006-06-29",38009,40510,37509,38510,119565
"2006-06-30",39610,40960,39010,40961,68951
"2006-07-03",41310,41710,39910,41461,20742
"2006-07-04",41560,44311,41560,44011,27737
"2006-07-05",42710,44011,42710,44011,18284
"2006-07-06",44011,44811,43661,44411,22780
"2006-07-07",45061,45911,44411,45812,29445
"2006-07-10",44611,45861,44611,45762,13958
"2006-07-11",45361,45711,44811,45512,20227
"2006-07-12",44811,45111,43261,44511,19906
"2006-07-13",43811,44411,42160,43011,18178
"2006-07-14",42710,45861,41660,43061,9963
"2006-07-18",43011,43011,40510,40510,20868
"2006-07-19",40160,41010,40160,40510,11919
"2006-07-20",40760,40910,40010,40811,12361
"2006-07-21",40210,40710,39360,39410,11183
"2006-07-24",39410,40060,39410,40060,23297
"2006-07-25",41460,41460,39810,40010,17459
"2006-07-26",40010,40310,39510,39510,39637
"2006-07-27",39960,40310,39810,39960,20455
"2006-07-28",39960,40010,39460,40010,10743
"2006-07-31",40060,40260,39810,40110,9932
"2006-08-01",40110,40110,39810,40110,7077
"2006-08-02",40210,40310,39910,40210,6782
"2006-08-03",40810,40810,39510,40460,6803
"2006-08-04",40460,41110,40360,41111,16447
"2006-08-07",41010,41210,40710,40961,4343
"2006-08-08",40560,41510,40560,41511,7183
"2006-08-09",40510,41860,40510,41861,7046
"2006-08-10",41560,41910,41260,41911,5033
"2006-08-11",41910,42010,41210,41861,4544
"2006-08-14",41910,41910,41410,41811,4609
"2006-08-16",41810,41860,41560,41561,6585
"2006-08-17",41110,41560,40510,41461,14130
"2006-08-18",40910,41510,40560,40560,11315
"2006-08-21",40510,40660,40110,40410,16482
"2006-08-22",40410,41510,40160,40911,11435
"2006-08-23",40710,41810,40560,41461,8112
"2006-08-24",41160,41510,41010,41211,8222
"2006-08-25",41510,41560,40760,41561,24952
"2006-08-28",41460,41610,41010,41611,7044
"2006-08-29",41510,41560,41160,41411,6569
"2006-08-30",41060,41710,41060,41661,8380
"2006-08-31",41660,41810,41110,41811,11137
"2006-09-01",41510,41610,41260,41361,5823
"2006-09-04",41610,41610,40810,41111,7419
"2006-09-05",41110,41360,40560,40911,5361
"2006-09-06",40660,40710,40410,40510,9757
"2006-09-07",40210,40410,39910,40160,10990
"2006-09-08",40010,40310,39960,40260,6748
"2006-09-11",40210,40210,39810,39810,10453
"2006-09-12",39560,39610,38759,38960,20404
"2006-09-13",39760,39860,39010,39810,12104
"2006-09-14",39760,40110,39510,40010,15368
"2006-09-15",40060,42110,40060,41511,24776
"2006-09-18",41510,42110,41410,42011,24835
"2006-09-19",42110,43361,42110,43311,42207
"2006-09-20",43411,43411,42460,43011,11122
"2006-09-21",42761,43161,42610,42911,14243
"2006-09-22",42911,44361,42911,43761,21289
"2006-09-25",43461,43711,42610,43011,5415
"2006-09-26",43211,43561,42911,43161,9848
"2006-09-27",44411,44411,43161,43811,15963
"2006-09-28",43811,43811,43111,43311,21197
"2006-09-29",43361,44761,43111,44011,11229
"2006-10-02",44011,44961,43811,44962,8091
"2006-10-04",44761,46011,44011,45562,13551
"2006-10-09",45361,45711,43361,45562,11847
"2006-10-10",45011,46011,44711,46012,15808
"2006-10-11",45911,46011,45411,46012,4486
"2006-10-12",46011,46461,45761,46412,16777
"2006-10-13",46461,46611,45811,46612,6368
"2006-10-16",46561,46662,45711,46662,7556
"2006-10-17",46762,47162,46061,46662,7525
"2006-10-18",46311,46662,45911,46662,4213
"2006-10-19",47012,47812,46361,47012,14248
"2006-10-20",47462,47462,46611,46912,6652
"2006-10-23",47012,47012,46461,46812,14359
"2006-10-24",46712,47762,46712,47762,18487
"2006-10-25",47312,47712,47212,47362,3843
"2006-10-26",47362,48312,47362,47912,21220
"2006-10-27",48012,48362,47412,48112,2787
"2006-10-30",48112,48312,48012,48112,19449
"2006-10-31",48362,49612,48012,48813,24435
