"","Price"
"2013-03-11",17910
"2013-03-12",18862
"2013-03-13",19636
"2013-03-14",19933
"2013-03-15",20647
"2013-03-18",19933
"2013-03-19",20290
"2013-03-20",19933
"2013-03-21",19636
"2013-03-22",21183
"2013-03-25",21778
"2013-03-26",22135
"2013-03-27",21242
"2013-03-28",21123
"2013-03-29",21540
"2013-04-01",21778
"2013-04-02",22968
"2013-04-03",23266
"2013-04-04",23385
"2013-04-05",23444
"2013-04-08",22611
"2013-04-09",22849
"2013-04-10",23087
"2013-04-11",23682
"2013-04-12",25467
"2013-04-15",28204
"2013-04-16",28442
"2013-04-17",28799
"2013-04-18",28085
"2013-04-19",26122
"2013-04-22",26598
"2013-04-23",28561
"2013-04-24",28859
"2013-04-25",29394
"2013-04-26",29037
"2013-04-29",28145
"2013-04-30",27550
"2013-05-02",27550
"2013-05-03",28740
"2013-05-06",28323
"2013-05-07",29037
"2013-05-08",30584
"2013-05-09",30465
"2013-05-10",30525
"2013-05-13",29632
"2013-05-14",27847
"2013-05-15",27966
"2013-05-16",29156
"2013-05-20",28621
"2013-05-21",27966
"2013-05-22",26955
"2013-05-23",27669
"2013-05-24",27609
"2013-05-27",28085
"2013-05-28",28085
"2013-05-29",27133
"2013-05-30",25765
"2013-05-31",26122
"2013-06-03",26479
"2013-06-04",25824
"2013-06-05",25527
"2013-06-07",25110
"2013-06-10",25765
"2013-06-11",26360
"2013-06-12",26360
"2013-06-13",26598
"2013-06-14",26181
"2013-06-17",24337
"2013-06-18",24099
"2013-06-19",23801
"2013-06-20",22492
"2013-06-21",21421
"2013-06-24",20409
"2013-06-25",17732
"2013-06-26",19517
"2013-06-27",20409
"2013-06-28",19755
"2013-07-01",21183
"2013-07-02",20885
"2013-07-03",21778
"2013-07-04",22552
"2013-07-05",22611
"2013-07-08",21123
"2013-07-09",21659
"2013-07-10",20588
"2013-07-11",21480
"2013-07-12",22194
"2013-07-15",21956
"2013-07-16",21659
"2013-07-17",21540
"2013-07-18",22135
"2013-07-19",21540
"2013-07-22",21480
"2013-07-23",21302
"2013-07-24",21064
"2013-07-25",21242
"2013-07-26",22492
"2013-07-29",22492
"2013-07-30",22849
"2013-07-31",22968
"2013-08-01",22433
"2013-08-02",22611
"2013-08-05",22730
"2013-08-06",22790
"2013-08-07",21837
"2013-08-08",21837
"2013-08-09",21480
"2013-08-12",21004
"2013-08-13",21837
"2013-08-14",21837
"2013-08-16",21421
"2013-08-19",21540
"2013-08-20",20588
"2013-08-21",20885
"2013-08-22",20528
"2013-08-23",21421
"2013-08-26",22790
"2013-08-27",22314
"2013-08-28",22611
"2013-08-29",23563
"2013-08-30",23563
"2013-09-02",22492
"2013-09-03",22492
"2013-09-04",22314
"2013-09-05",23444
"2013-09-06",24396
"2013-09-09",25348
"2013-09-10",24337
"2013-09-11",25110
"2013-09-12",24753
"2013-09-13",24218
"2013-09-16",24277
"2013-09-17",24694
"2013-09-23",24694
"2013-09-24",24694
"2013-09-25",26419
"2013-09-26",26538
"2013-09-27",26955
"2013-09-30",25467
"2013-10-01",25646
"2013-10-02",26122
"2013-10-04",25348
"2013-10-07",24396
"2013-10-08",24575
"2013-10-10",24872
"2013-10-11",24872
"2013-10-14",24396
"2013-10-15",24337
"2013-10-16",22730
"2013-10-17",22671
"2013-10-18",23801
"2013-10-21",23682
"2013-10-22",24337
"2013-10-23",24039
"2013-10-24",24218
"2013-10-25",23861
"2013-10-28",24218
"2013-10-29",24753
"2013-10-30",25229
"2013-10-31",24575
"2013-11-01",24634
"2013-11-04",24575
"2013-11-05",24099
"2013-11-06",23980
"2013-11-07",22611
"2013-11-08",23206
"2013-11-11",22135
"2013-11-12",22730
"2013-11-13",22194
"2013-11-14",23087
"2013-11-15",23087
"2013-11-18",22552
"2013-11-19",22016
"2013-11-20",21064
"2013-11-21",21004
"2013-11-22",21064
"2013-11-25",21540
"2013-11-26",21421
"2013-11-27",21659
"2013-11-28",21540
"2013-11-29",21361
"2013-12-02",19041
"2013-12-03",19398
"2013-12-04",19636
"2013-12-05",19517
"2013-12-06",18505
"2013-12-09",18743
"2013-12-10",18089
"2013-12-11",17018
"2013-12-12",17077
"2013-12-13",16839
"2013-12-16",16780
"2013-12-17",16423
"2013-12-18",16423
"2013-12-19",17137
"2013-12-20",18267
"2013-12-23",17970
