"","Price"
"2017-11-24",71800
"2017-11-27",71300
"2017-11-28",64000
"2017-11-29",62800
"2017-11-30",64500
"2017-12-01",64100
"2017-12-04",64100
"2017-12-05",63300
"2017-12-06",60400
"2017-12-07",57800
"2017-12-08",60200
"2017-12-11",63500
"2017-12-12",62200
"2017-12-13",62000
"2017-12-14",61200
"2017-12-15",59700
"2017-12-18",64100
"2017-12-19",65100
"2017-12-20",65600
"2017-12-21",62200
"2017-12-22",62100
"2017-12-26",60300
"2017-12-27",62000
"2017-12-28",65000
"2018-01-02",65800
"2018-01-03",63400
"2018-01-04",60000
"2018-01-05",59700
"2018-01-08",58700
"2018-01-09",58400
"2018-01-10",62400
"2018-01-11",63600
"2018-01-12",68500
"2018-01-15",69700
"2018-01-16",72100
"2018-01-17",74400
"2018-01-18",76100
"2018-01-19",79400
"2018-01-22",77000
"2018-01-23",82000
"2018-01-24",87000
"2018-01-25",83500
"2018-01-26",85200
"2018-01-29",79600
"2018-01-30",78300
"2018-01-31",79100
"2018-02-01",84700
"2018-02-02",83300
"2018-02-05",77100
"2018-02-06",75000
"2018-02-07",71400
"2018-02-08",75600
"2018-02-09",77000
"2018-02-12",79000
"2018-02-13",79400
"2018-02-14",79500
"2018-02-19",79700
"2018-02-20",77800
"2018-02-21",76200
"2018-02-22",75800
"2018-02-23",80400
"2018-02-26",80000
"2018-02-27",88600
"2018-02-28",87700
"2018-03-02",87300
"2018-03-05",87300
"2018-03-06",88100
"2018-03-07",87600
"2018-03-08",87200
"2018-03-09",91000
"2018-03-12",90100
"2018-03-13",93500
"2018-03-14",93700
"2018-03-15",97700
"2018-03-16",97000
"2018-03-19",97400
"2018-03-20",98000
"2018-03-21",98500
"2018-03-22",97900
"2018-03-23",94500
"2018-03-26",95800
"2018-03-27",97600
"2018-03-28",94000
"2018-03-29",95500
"2018-03-30",92600
"2018-04-02",96800
"2018-04-03",98600
"2018-04-04",94600
"2018-04-05",91700
"2018-04-06",92500
"2018-04-09",92000
"2018-04-10",91300
"2018-04-11",91500
"2018-04-12",90000
"2018-04-13",93100
"2018-04-16",95600
"2018-04-17",96900
"2018-04-18",96600
"2018-04-19",94200
"2018-04-20",93000
"2018-04-23",91300
"2018-04-24",90300
"2018-04-25",87700
"2018-04-26",85300
"2018-04-27",87400
"2018-04-30",84600
"2018-05-02",81800
"2018-05-03",84800
"2018-05-04",83900
"2018-05-08",79600
"2018-05-09",83600
"2018-05-10",84100
"2018-05-11",92000
"2018-05-14",92800
"2018-05-15",92800
"2018-05-16",92900
"2018-05-17",93000
"2018-05-18",95300
"2018-05-21",96200
"2018-05-23",99000
"2018-05-24",98300
"2018-05-25",96400
"2018-05-28",95600
"2018-05-29",102700
"2018-05-30",107800
"2018-05-31",107700
"2018-06-01",110400
"2018-06-04",108900
"2018-06-05",109200
"2018-06-07",108900
"2018-06-08",106000
"2018-06-11",108600
"2018-06-12",109900
"2018-06-14",105100
"2018-06-15",108900
"2018-06-18",107200
